CORREL,CHISQR,INTERSECT,BHATTACHARYYA,EMD,Screen_Transition
0.999999999,4.35E-07,0.999983387,0.000205255785,4.35E-07,0
1,2.09E-07,0.999984364,0.000142003266,2.08E-07,0
1,1.91E-07,0.999981533,0.000136462571,1.92E-07,0
1,0,1.000000176,0,0,0
0.999838897,0.510427783,0.96559566,0.108193561,0.0950472074,0
1,5.64E-06,0.999975414,0.00152588706,1.31E-05,0
0.0225841445,200.9346479,0.112603839,0.885819677,7.867065685,1
0.999990664,0.00635771065,0.996718451,0.0159268044,0.00564822026,0
0.99999999,8.66E-05,0.999862269,0.00223536675,9.73E-05,0
0.999664768,0.686930735,0.944770435,0.108027508,0.224510242,0
0.999999258,0.00169019722,0.999285444,0.00759377982,0.00127480859,0
0.999999261,0.00100516717,0.99939162,0.00740144586,0.00120484789,0
0.99999736,0.00323643159,0.997537295,0.0131691505,0.00385319454,0
0.999999265,0.000919549004,0.999449034,0.00661340859,0.00103831707,0
0.999963487,0.26434617,0.974082156,0.0882186029,0.14721287,0
0.999904401,0.502704771,0.958441858,0.0978667182,0.183010512,0
0.999998678,0.0014569751,0.998496309,0.00797073552,0.00153682234,0
1,0,0.999999983,0,0,0
1,0,0.999999983,0,0,0
1,0,0.999999983,0,0,0
0.999919106,0.545163323,0.963651676,0.09543639,0.171798038,0
0.999999942,2.88E-06,0.999879417,0.000343064848,2.89E-06,0
0.999999999,1.30E-06,0.999978417,0.000227755237,1.27E-06,0
1,5.81E-07,0.999991327,0.000155119103,5.90E-07,0
1,0,0.999999939,1.05E-08,0,0
0.999940169,0.36330274,0.96184913,0.0995013865,0.185729219,0
0.999999838,0.000335143149,0.999679869,0.00370777685,0.000326439021,0
0.999999965,0.000317523249,0.99974972,0.00320031595,0.000240950701,0
0.99999983,0.00010066886,0.999756099,0.00199029636,9.66E-05,0
1,0,1.000000014,0,0,0
0.99996335,0.25810288,0.971206181,0.0858209036,0.140301369,0
0.999894899,0.326274172,0.964715121,0.101896847,0.197254784,0
0.0497317977,866.6834864,0.0650311608,0.861541662,7.659515868,1
0.999999741,0.00252326623,0.999130712,0.012869828,0.00110770457,0
1,4.52E-08,0.999992907,6.38E-05,4.52E-08,0
1,4.52E-08,0.99998293,6.38E-05,4.52E-08,0
0.999817862,1.610007442,0.96419625,0.133356971,0.134584934,0
0.999999958,0.000457409303,0.999425933,0.00876270427,0.000575084224,0
0.999999992,2.04E-05,0.999851434,0.0013276253,1.97E-05,0
0.999999997,5.98E-07,0.999946923,0.000232613544,6.08E-07,0
1,0,1.000000014,0,0,0
0.999840586,1.77822971,0.962013335,0.117388375,0.104518849,0
0.999999996,6.99E-07,0.999946337,0.000250805788,7.04E-07,0
0.999999991,5.04E-07,0.999929648,0.000211842233,5.02E-07,0
0.999999999,4.93E-07,0.99997106,0.000208715758,4.87E-07,0
0.999999999,1.15E-05,0.999988016,0.00124039614,1.31E-05,0
0.999948966,0.454049342,0.983913309,0.0906140145,0.0625944241,0
0.999690785,2.169210629,0.950890022,0.125981707,0.123831887,0
0.999999753,0.000862471344,0.999972707,0.0150221145,0.00152242185,0
1,0,1.000000001,0,0,0
1,0,1.000000001,0,0,0
1,0,1.000000001,0,0,0
0.999688092,1.923075871,0.948882526,0.14656873,0.161671442,0
0.999993518,0.729406265,0.995076092,0.0501310658,0.0174275347,0
0.999993522,0.829263587,0.995130611,0.0500804372,0.017390603,0
0.999999999,4.96E-05,0.999920021,0.00332298548,7.95E-05,0
1,0,1.000000127,0,0,0
0.999897375,1.089824229,0.970957163,0.0998651804,0.0830428056,0
0.999999999,9.87E-06,0.999989882,0.00190306218,2.46E-05,0
0.999999826,0.0010322625,0.999952718,0.0171279793,0.00196232892,0
1,0,1.000000123,0,0,0
0.999999999,1.15E-05,0.999939861,0.000975567356,1.06E-05,0
0.999993966,0.0331817172,0.993597522,0.0483345374,0.0170610031,0
0.999673411,2.584065732,0.945365603,0.141427206,0.154602192,0
0.999999899,0.000999734041,0.999661717,0.0157214928,0.00166270641,0
0.999999998,0.000152015868,0.999760151,0.00598876937,0.000248855462,0
1,0,1.000000195,1.05E-08,0,0
1,0,1.000000195,1.05E-08,0,0
0.999840315,0.853883453,0.961389524,0.117904521,0.110093571,0
0.999999999,3.28E-05,0.99989209,0.00279713515,5.60E-05,0
0.999999998,4.15E-05,0.999897158,0.00263083162,5.38E-05,0
0.99999999,0.000323091313,0.999894941,0.00497139001,0.000230787095,0
0.999999679,0.00154294988,0.999348652,0.0193921898,0.00261662599,0
0.999850847,1.13657481,0.96206544,0.123658707,0.118950041,0
0.999999995,0.00010541266,0.999804205,0.00460195075,0.000153177479,0
0.999999991,9.41E-05,0.999759847,0.00479796101,0.000168436828,0
1,0,1.000000092,0,0,0
0.999999999,4.35E-05,0.99994043,0.00252057166,4.20E-05,0
0.999758088,1.258863578,0.959345429,0.139676226,0.148458517,0
0.99987025,2.417984593,0.956000204,0.128210261,0.125537473,0
0.999999981,3.32E-05,0.999800791,0.00184203086,3.44E-05,0
1,0,0.999999925,1.05E-08,0,0
0.999999992,2.76E-05,0.999993616,0.00253064202,4.82E-05,0
0.999999822,0.00213497541,0.999460645,0.0198524285,0.00262456316,0
0.999721064,1.990710535,0.949145455,0.140466739,0.150947622,0
1,1.58E-05,0.999967729,0.00160322521,2.10E-05,0
1,0,1.000000088,0,0,0
0.999999998,1.77E-05,1.000000046,0.00187795105,2.80E-05,0
0.999999957,0.000598388411,0.999914145,0.00901269197,0.000641553307,0
0.999913914,2.535306122,0.96335506,0.129218291,0.126429047,0
0.99999987,0.000684844395,0.999875418,0.0120523849,0.00109190824,0
0.999999893,0.00105268428,0.999779831,0.0141156183,0.00147109474,0
0.999999803,0.000400615449,0.999613989,0.00859187267,0.000583173815,0
0.99999985,0.000497598615,0.999871119,0.00859235822,0.00061356226,0
0.999877615,2.196938861,0.956958978,0.13454147,0.136338174,0
0.999584287,2.136099458,0.941127067,0.15640058,0.1842491,0
0.999999963,0.000443058259,0.999876943,0.0111437821,0.000832762945,0
0.999999916,0.000442372351,0.999860555,0.0105526475,0.000789602912,0
0.99999991,0.000445747491,0.999772265,0.0095378733,0.000690284945,0
0.999999966,0.00032253624,0.999710519,0.00972772087,0.000659158675,0
0.999595619,2.403511709,0.948713686,0.148063985,0.175670365,0
0.999999979,0.000874092241,0.999080639,0.0118782366,0.00116364153,0
1,4.06E-05,0.999935509,0.00198802787,4.16E-05,0
0.999999997,4.90E-05,0.999888134,0.00252537255,5.72E-05,0
1,2.55E-06,0.999953596,0.0004759373,2.65E-06,0
0.999916219,2.465623537,0.961127007,0.125691492,0.123274939,0
0.99999999,0.000434448826,0.999415266,0.00893614266,0.000620152978,0
0.999999959,0.000514520273,0.999283354,0.0103570451,0.000815868033,0
0.999999993,0.000205521331,0.999633036,0.00661752574,0.00032635789,0
0.999999996,2.66E-05,0.999858478,0.00204894296,3.65E-05,0
0.999920557,2.189007481,0.96684435,0.11043749,0.0963116786,0
0.999671616,3.701205143,0.942787393,0.137534866,0.149108546,0
0.999999999,9.40E-05,0.999846565,0.00388158481,0.000128110307,0
1,6.02E-05,0.999902507,0.00292687675,7.40E-05,0
0.999999998,0.000131143203,0.999793754,0.00430900643,0.000160146199,0
1,0,1.00000009,0,0,0
0.999746046,1.255403002,0.958159308,0.11977318,0.118872565,0
0.9999988,0.0238136525,0.997903651,0.0260189408,0.00520482576,0
0.99999888,0.00757310874,0.998048528,0.0259826919,0.00518276538,0
1,2.91E-06,0.999952604,0.000506698975,3.00E-06,0
0.999999971,0.000138074415,0.999968587,0.0042293794,0.000163636958,0
0.999991287,0.0896133909,0.988126383,0.0512699505,0.0210857813,0
0.999999995,3.51E-05,0.999873098,0.00302463631,6.49E-05,0
0.999999999,9.92E-06,0.99995275,0.00182686555,2.22E-05,0
0.999999998,1.69E-05,0.999967459,0.00214451665,3.29E-05,0
0.999999461,0.00138246205,0.999978411,0.0129141744,0.00148805309,0
0.99989823,1.20399639,0.968187278,0.11781539,0.112846779,0
0.9997604,0.722802124,0.949705945,0.135392541,0.144923915,0
0.999999934,0.000401950947,0.999894726,0.00959703508,0.000680053738,0
0.99999977,0.000527398443,0.999916907,0.00942525861,0.000734182864,0
0.999999312,0.00451924884,0.999845522,0.0178886114,0.00253008883,0
0.999999992,0.000329965617,0.999588427,0.00747175764,0.000444292783,0
0.999768238,2.008006295,0.957339348,0.134324609,0.148832358,0
0.999999512,0.00182480709,0.999986197,0.0114485851,0.00130066806,0
0.999999972,0.000128121582,0.999754333,0.00394697658,0.000152933508,0
0.99999104,1.359948944,0.994885921,0.0443426515,0.0163899245,0
0.99999092,0.0760602112,0.994909638,0.0435142724,0.0158553239,0
0.999865728,0.777153533,0.955894963,0.126204284,0.137606267,0
0.999999866,0.000218683272,0.999815805,0.00541744216,0.000265409829,0
0.99999973,0.000881674301,0.999915323,0.00842544339,0.00069083953,0
0.99999996,8.27E-05,0.99963612,0.00330478917,0.000101939942,0
0.999999966,1.60E-05,0.999559825,0.00163571214,2.39E-05,0
0.999928132,0.791119087,0.965269296,0.109800514,0.103292132,0
0.9997518,0.497355923,0.94701939,0.126673755,0.136352283,0
0.999999991,2.01E-05,0.999860894,0.0013077726,2.06E-05,0
0.999999999,1.65E-05,0.999942073,0.00110981636,1.48E-05,0
1,0,0.999999942,0,0,0
1,0,0.999999942,0,0,0
0.999733018,18.74879504,0.954330644,0.142011306,0.161206244,0
0.999987155,1.158312717,0.994519283,0.0490574964,0.0193524523,0
0.999988185,0.0949938263,0.99472272,0.046683163,0.0182444684,0
0.999999859,0.00391388112,0.999327061,0.0122173178,0.00142384309,0
1,0,0.999999984,0,0,0
0.999917968,2.468741257,0.962664145,0.113100874,0.111632508,0
0.999999976,1.35E-05,0.999839901,0.00105926945,1.37E-05,0
1,9.52E-07,0.999977488,0.00027957404,9.56E-07,0
0.999999999,5.84E-06,0.999962993,0.000658989584,5.28E-06,0
1,0,0.999999994,0,0,0
0.999912115,0.624530834,0.96411341,0.111389608,0.108030261,0
0.999805823,1.851808876,0.945012936,0.139751169,0.162838215,0
1,0,1.00000007,0,0,0
1,0,1.00000007,0,0,0
1,0,1.00000007,0,0,0
1,0,1.00000007,0,0,0
0.999824165,4.293642346,0.95604406,0.123627351,0.130769796,0
0.999999994,8.61E-05,0.99974502,0.00263710814,8.39E-05,0
0.999999996,5.88E-05,0.999717477,0.00231617821,6.06E-05,0
0.999999996,7.95E-05,0.999707358,0.00263714447,7.96E-05,0
1,0,0.999999986,1.05E-08,0,0
0.999991702,0.0386381859,0.995699549,0.0343796376,0.0124796741,0
0.999994481,0.355881222,0.995551885,0.0413141541,0.0142928585,0
0.99999448,0.0214485969,0.995552672,0.0412985283,0.0142773254,0
0.999999998,5.08E-05,0.999805189,0.00203264067,5.00E-05,0
1,0,1.000000096,0,0,0
0.999966982,0.128910597,0.984023548,0.0688035388,0.0439737221,0
0.999766576,1.103184685,0.945113771,0.130335544,0.141164156,0
0.999999992,1.37E-05,0.999890199,0.00107325013,1.39E-05,0
1,8.97E-06,0.999984065,0.000820706282,8.06E-06,0
1,0,0.999999958,1.05E-08,0,0
1,0,0.999999958,1.05E-08,0,0
0.999733549,18.87249068,0.954522161,0.141764437,0.160113987,0
0.999987166,1.146374812,0.994519318,0.0488969809,0.0192818627,0
0.999988195,0.088221919,0.994723087,0.0465152661,0.0181765378,0
0.99999986,0.00391225908,0.999327049,0.0122465278,0.00142600238,0
1,0,1.000000046,0,0,0
0.999995442,0.0176247838,0.993819753,0.028684825,0.00782942036,0
0.999999992,3.09E-05,0.999832752,0.00202373367,3.70E-05,0
0.999999984,0.000134975248,0.99969289,0.00509492112,0.000206206792,0
0.999999987,0.00014982932,0.999745024,0.00549066728,0.00024451589,0
0.999999707,0.00227840565,0.999793936,0.0165359499,0.00224066746,0
0.999806966,2.809753589,0.950544539,0.143216858,0.166420441,0
0.999627261,0.748417404,0.947908037,0.126068575,0.136537502,0
1,1.19E-08,0.999994151,3.11E-05,1.19E-08,0
0.999999992,7.89E-05,0.99987369,0.00404466177,0.000134153309,0
0.999999637,0.00205911346,0.999515969,0.0202048439,0.00311676835,0
0.999999994,0.000294610885,0.999494894,0.00853159899,0.000552130786,0
0.999790119,5.420901664,0.950238332,0.134033883,0.155958446,0
0.999986917,1.109046417,0.994566571,0.0484779726,0.0193470239,0
0.999987968,0.102667537,0.994831285,0.0463504152,0.0182527394,0
0.999999857,0.00256194386,0.999330914,0.0120359629,0.0014149191,0
1,0,0.999999996,0,0,0
0.999997477,0.0166914766,0.994516624,0.0270983896,0.00681536036,0
0.999999796,0.000620006439,0.99997016,0.00911635442,0.00075246723,0
0.999999489,0.00281760764,0.999328323,0.0179366337,0.00274910763,0
0.99999997,0.000299444309,0.999413565,0.00761359288,0.000465759284,0
1,0,1.000000003,0,0,0
0.99987876,1.657453156,0.953924575,0.136684124,0.153256388,0
0.999817732,3.166087167,0.948133367,0.135952364,0.150622569,0
1,3.24E-07,0.999984096,0.000161827717,3.24E-07,0
0.99999998,3.25E-05,0.999938113,0.00327904207,7.99E-05,0
0.999999905,0.000782264381,0.999756207,0.01459672,0.0015882646,0
0.999999988,0.000306444225,0.999796215,0.0100365104,0.000729936968,0
0.999820537,11.62756407,0.959091742,0.132446283,0.142821673,0
0.99999995,3.70E-05,0.999676174,0.00174625631,3.76E-05,0
0.999999966,3.57E-05,0.999742688,0.00157262968,3.04E-05,0
0.999999992,4.95E-06,0.999911715,0.000618831534,4.78E-06,0
1,0,0.999999934,0,0,0
0.999710476,3.479306353,0.953424251,0.140204852,0.169655717,0
0.999968521,0.00959269177,0.987595615,0.0368099032,0.0148018617,0
0.999999996,4.99E-05,0.999841978,0.00203117768,4.67E-05,0
0.999999999,3.07E-05,0.999920284,0.00157084583,3.04E-05,0
1,0,1.00000007,0,0,0
0.999793967,1.592826333,0.958746251,0.123634175,0.132312104,0
0.999767292,1.054848089,0.945397798,0.127011168,0.142882999,0
0.999999981,0.000111607099,0.99952402,0.00325998262,0.000118265165,0
1,0,1.000000021,0,0,0
1,0,1.000000021,0,0,0
0.999999998,2.64E-05,0.999860471,0.00142291289,2.51E-05,0
0.999602068,4.791061373,0.945807437,0.150623296,0.196735865,0
0.999999691,0.000358439069,0.999907021,0.00871294746,0.00063568774,0
0.99999946,0.00103390398,0.999774934,0.013012604,0.00147862502,0
0.999999988,0.000114284531,0.999730996,0.00415424392,0.000159983969,0
0.999999961,7.01E-05,0.999597001,0.00272138898,8.02E-05,0
0.999789043,2.071445252,0.951121093,0.129009977,0.145584103,0
0.99999999,0.000108887159,0.999594316,0.00298915047,0.00010729885,0
0.999999988,0.000156126438,0.999596593,0.00486800412,0.000217087869,0
0.999999962,0.000101828033,0.999755909,0.00379792378,0.00013214021,0
0.999999999,2.36E-07,0.999962997,0.000136527207,2.37E-07,0
0.999990286,0.142033809,0.989405127,0.0561843016,0.0267774675,0
0.999743702,1.570300424,0.942045917,0.13225161,0.152396801,0
0.999999997,1.79E-05,0.999925294,0.00157271498,2.19E-05,0
0.999999211,0.0011599831,0.999985144,0.0140803264,0.00169927192,0
0.999999914,0.000608906853,0.999737901,0.0110850422,0.000985698157,0
0.999999684,0.000452433186,0.999931947,0.00934960492,0.000729279901,0
0.999736618,14.00958295,0.955348324,0.144746233,0.17069274,0
0.999999904,0.000425138245,0.999801183,0.00821362583,0.000576896129,0
0.999999472,0.000869264165,0.999972003,0.0109493725,0.00111889493,0
0.999999656,0.000346995805,0.999873017,0.00748165086,0.000505273203,0
0.999999999,1.07E-05,0.99990452,0.000930332112,1.11E-05,0
0.999661588,2.491598205,0.949541868,0.141164094,0.17760188,0
0.999974058,0.0240331888,0.99245029,0.0530405277,0.0278103316,0
0.999999772,0.00119142966,0.998666606,0.0127551378,0.00150118238,0
0.99999997,0.000685863626,0.998941848,0.010545668,0.000998482057,0
0.999999996,0.0001327337,0.999600116,0.00427326202,0.000181261667,0
0.999956751,0.0414157625,0.976079385,0.0671522256,0.0428095654,0
0.999612557,2.411287234,0.934936153,0.141009223,0.178882923,0
0.999999996,6.77E-05,0.999805463,0.00231448388,5.86E-05,0
1,0,1.000000127,1.05E-08,0,0
1,0,1.000000127,1.05E-08,0,0
1,0,1.000000127,1.05E-08,0,0
0.999562756,3.729587855,0.945930378,0.13434872,0.176370969,0
0.999999993,6.81E-05,0.999684244,0.0023821441,6.97E-05,0
1,0,1.000000007,0,0,0
1,0,1.000000007,0,0,0
0.999999994,3.65E-05,0.999815224,0.00185307327,4.03E-05,0
0.999998616,0.00415226731,0.995743332,0.0211595616,0.00442794755,0
0.999999867,0.000448522222,0.999825612,0.0077884928,0.00057525262,0
0.999999785,0.000539929725,0.999619507,0.00939407416,0.0008089043,0
0.999999949,0.000997712551,0.998896146,0.0106973867,0.000977992877,0
0.999999698,0.002210387,0.998691562,0.0165384911,0.00238223271,0
0.999837665,1.219596922,0.95403233,0.125364115,0.142451325,0
0.999779658,1.553636685,0.941630737,0.12581267,0.142824944,0
0.999999979,0.000137788761,0.999524348,0.00529996569,0.000233133244,0
1,8.15E-06,0.999977169,0.000780268223,7.84E-06,0
1,0,1.000000056,1.05E-08,0,0
0.999999999,1.29E-05,0.999914424,0.000995001601,1.29E-05,0
0.999681095,1.889441456,0.951482776,0.135096339,0.171854113,0
0.999999993,3.79E-05,0.999841269,0.00165277613,3.62E-05,0
0.999999993,1.39E-05,0.999940583,0.000998892726,1.32E-05,0
0.999999994,6.40E-05,0.999852098,0.00209379072,5.80E-05,0
0.999999989,8.08E-05,0.99975921,0.00435941368,0.000160954673,0
0.999842682,2.008178689,0.952073377,0.127201697,0.155283744,0
0.999999997,7.30E-06,0.999911787,0.00140944488,1.68E-05,0
0.999999884,0.000263557156,0.999973381,0.00678046891,0.000409401463,0
0.999999776,0.00111306609,0.999628155,0.0149826606,0.00188197612,0
0.999999861,0.000481905525,0.999637664,0.0102224639,0.000876522966,0
0.999918232,0.718915085,0.957512864,0.110799694,0.116091681,0
0.999750238,2.557506153,0.941226673,0.127960874,0.15138679,0
0.999999871,9.01E-05,0.999378633,0.00276398271,9.01E-05,0
0.999999997,2.87E-05,0.999854202,0.00187782985,3.67E-05,0
0.999999988,1.96E-05,0.999927048,0.00183411978,2.99E-05,0
0.999999997,1.76E-05,0.999855719,0.00155480849,2.22E-05,0
0.999740779,2.773136945,0.95382629,0.128914773,0.148172228,0
0.999999959,1.33E-05,0.999547438,0.00123617574,1.58E-05,0
0.999999809,0.000269233532,1.000000144,0.00612489408,0.000354495714,0
0.999999948,0.000588871566,0.999467083,0.00928348468,0.000756340092,0
1,0,0.999999955,1.05E-08,0,0
0.999997102,0.0205959845,0.990333118,0.0373945008,0.0136758644,0
0.999999498,0.00121276945,0.999970007,0.0124358146,0.00138076634,0
0.999998932,0.00249870997,0.998781868,0.0210444364,0.00382119747,0
1,0,1.000000002,0,0,0
0.999999983,2.52E-05,0.999746902,0.00139063917,2.59E-05,0
0.999918876,2.864277705,0.960867823,0.123486587,0.14011836,0
0.999665558,2.447009033,0.937575686,0.132936576,0.167183462,0
0.999999372,0.00091533953,0.999969867,0.0120516534,0.00129785003,0
1,0,0.999999989,1.05E-08,0,0
1,0,0.999999989,1.05E-08,0,0
1,0,0.999999989,1.05E-08,0,0
0.999689957,3.984158957,0.945906492,0.138138997,0.177440502,0
1,4.81E-07,0.999974952,0.000188782886,4.81E-07,0
1,4.65E-06,0.999974483,0.000587001374,4.65E-06,0
1,5.19E-06,0.99995031,0.000617599574,5.14E-06,0
0.999998194,0.00148775068,0.999944151,0.012052937,0.00156720751,0
0.999916723,3.537352157,0.958246593,0.127620867,0.14888236,0
0.999999976,0.000325133533,0.999541762,0.00437533878,0.000210855243,0
0.999999993,5.33E-05,0.999826128,0.00314344673,8.55E-05,0
0.999999991,0.000203671673,0.999634711,0.00476773403,0.000258194445,0
1,0,1.00000003,0,0,0
0.999903126,6.996939309,0.957438764,0.13471604,0.15979393,0
0.999607524,1.698976487,0.935401098,0.141324936,0.189577365,0
0.999999896,1.94E-05,0.999633393,0.0012027147,1.95E-05,0
0.999999999,1.01E-05,0.999917417,0.000839259982,9.42E-06,0
0.999999945,0.00104023549,0.999296209,0.00968144821,0.000862960713,0
0.999999595,0.00134960682,0.998843994,0.0132005566,0.00166143296,0
0.99961865,1.438363059,0.950192786,0.129689463,0.163139445,0
0.999999771,9.47E-05,0.999408916,0.00284765369,0.0001013051,0
0.999999993,2.06E-05,0.99989697,0.00143117099,2.30E-05,0
0.999999992,5.26E-05,0.999737784,0.00211235788,5.59E-05,0
1,0,1.000000028,0,0,0
0.999872835,5.117860656,0.957884997,0.126739183,0.151308074,0
0.999999966,0.000106521543,0.999442975,0.00342671618,0.000125800682,0
0.999999992,6.31E-05,0.999698431,0.00301500362,8.96E-05,0
0.999999947,0.00033498273,0.999077462,0.00603750624,0.000394286943,0
0.999999577,0.00149960169,0.998303398,0.0129402384,0.00174183094,0
0.999889317,0.843880919,0.956707268,0.123748936,0.14366805,0
0.999761586,1.141141859,0.945542022,0.125302067,0.147475676,0
0.999999095,9.65E-05,0.999100369,0.00266462902,9.67E-05,0
1,5.73E-06,0.999968625,0.000635646014,5.46E-06,0
1,0,1.000000044,0,0,0
1,0,1.000000044,0,0,0
0.999746282,7.700244585,0.949304969,0.135079843,0.173172661,0
0.999993235,0.00996631391,0.995366808,0.0340353374,0.0131147038,0
0.999999995,5.66E-05,0.999738284,0.00216809295,5.94E-05,0
0.999999422,0.001176596,0.999731622,0.0139136309,0.00179042012,0
0.999999238,0.00234589283,0.999027943,0.0191863563,0.00334577418,0
0.999879425,2.731028307,0.952940961,0.135714858,0.173214063,0
0.999999746,0.000693178062,0.999045152,0.00818588529,0.000887899118,0
0.999999923,6.72E-05,0.999543125,0.0024784991,7.51E-05,0
0.999999901,6.09E-06,0.999788274,0.000662488849,6.09E-06,0
1,0,1.000000101,0,0,0
0.999912652,1.994629403,0.959782135,0.121868596,0.140938609,0
0.99967149,0.902473755,0.935976645,0.131077699,0.170540261,0
